Frecuencia(Hz)	Magnitud(V)
0.00	0.00094
29.57	0.00291
59.14	0.00793
88.71	0.02698
118.27	0.02555
147.84	0.01079
177.41	0.00731
206.98	0.00559
236.55	0.00465
266.12	0.00394
295.69	0.00353
325.26	0.00320
354.82	0.00286
384.39	0.00258
413.96	0.00248
443.53	0.00228
473.10	0.00217
502.67	0.00206
532.24	0.00189
561.81	0.00183
591.37	0.00176
620.94	0.00171
650.51	0.00169
680.08	0.00163
709.65	0.00162
739.22	0.00159
768.79	0.00167
798.36	0.00160
827.92	0.00145
857.49	0.00147
887.06	0.00143
916.63	0.00151
